CdPt	Bitmap
0030	1c262a321c
0031	00123e0200
0032	12262a2a12
0033	14222a2a14
0034	0c14243e04
0035	3a2a2a2a24
0036	1c2a2a2a04
0037	2020262830
0038	142a2a2a14
0039	102a2a2a1c
0041	1e2828281e
0042	3e2a2a2a14
0043	1c22222214
0044	3e2222221c
0045	3e2a2a2a22
0046	3e28282820
0047	1c222a2a0c
0048	3e0808083e
0049	00223e2200
004a	0402223c20
004b	3e08142200
004c	3e02020202
004d	3e1008103e
004e	3e1008043e
004f	1c2222221c
0050	3e28282810
0051	1c222a241a
0052	3e28282816
0053	122a2a2a24
0054	20203e2020
0055	3c0202023c
0056	300c020c30
0057	3c020c023c
0058	2214081422
0059	20100e1020
005a	22262a3222
0066	0c1a2a2a04
0069	102a2a2c18
