CdPt	Bitmap
10330	be40201408
10331	fe1212926c
10332	fe80808080
10333	8442221408
10334	7c92928244
10335	fc020204fe
10336	868a92a2c2
10337	fe4040403e
10338	7008fe0870
10339	0000fe0000
1033a	fe10189462
1033b	8698601806
1033c	fe403040fe
1033d	fe403804fe
1033e	7c8282844e
1033f	fe8080807e
10340	fe808080fe
10341	f8040404fe
10342	fe2030a844
10343	649292924c
10344	8080fe8080
10345	c0300e30c0
10346	fe48484848
10347	c6281028c6
10348	7c8292827c
10349	728a848a72
1034a	2040fe4020
10400	5c9292927c
10401	6c92929244
10402	6c9292827c
10403	7c82e2927c
10404	7c8282827c
10405	7c82fe827c
10406	0020fe1000
10407	02040404fe
10408	08040402fe
10409	04020402fe
1040a	fe40404080
1040b	609090907e
1040c	0c12fc100e
1040d	6c92f2927c
1040e	fc023c02fc
1040f	60907c12fc
10410	e0107e9060
10411	80808080fe
10412	6c929244fe
10413	708080807e
10414	7c92a242fe
10415	7c8282a264
10416	70888aac68
10417	7c82bc827c
10418	7c82e4927c
10419	7e90909060
1041a	7c8292926c
1041b	fe02020202
1041c	c0340a34c0
1041d	54ba92ba54
1041e	7c9292924c
1041f	fe4282827c
10420	649292924c
10421	2050fe1060
10422	fc0202021c
10423	64a282827c
10424	fc0810207e
10425	fe043840fe
10426	04024422fe
10427	7c92fe927c
10428	0c2a2a2a1c
10429	142a2a2214
1042a	142a2a221c
1042b	1c22322a1c
1042c	1c2222221c
1042d	1c223e221c
1042e	00103e0800
1042f	020404043e
10430	080402023e
10431	040204023e
10432	3e10101020
10433	102828281e
10434	040a3c0806
10435	142a3a2a1c
10436	3c020c023c
10437	10281c0a3c
10438	30081e2810
10439	202020203e
1043a	142a22143e
1043b	102020201e
1043c	1c2a323c02
1043d	1c22222214
1043e	10282a2c08
1043f	1c222c221c
10440	1c22342a1c
10441	1e28282810
10442	1c222a2a14
10443	3e02020202
10444	202c122c20
10445	081c2a1c08
10446	1c2a2a2a04
10447	201e22221c
10448	102a2a2a04
10449	10283e0830
1044a	3c02020204
1044b	142222221c
1044c	3c0408101e
1044d	3e0408103e
1044e	040214123e
1044f	1c2a3e2a1c
10450	0080807e00
10451	002040fe00
10452	0c12e20200
10453	000202fc00
10454	0c9282423c
10455	0062928c00
10456	0c32428204
10457	0cb2c28204
10458	00c0380600
10459	027a847a02
1045a	00fc020200
1045b	00fe040800
1045c	00808e9060
1045d	007e808000
1045e	7884829260
1045f	008c926200
10460	4082849860
10461	4082869a60
10462	000638c000
10463	80bc42bc80
10464	1c22222214
10465	00021c2000
10466	00003e0000
10467	3804020202
10468	0202020438
10469	0e10202020
1046a	202020100e
1046b	300c020c30
1046c	0008142200
1046d	00122c2800
1046e	142222221c
1046f	00201c0200
10470	3c0408101e
10471	3824222222
10472	2222222438
10473	20202e3020
10474	1c2222221c
10475	0618201806
10476	0022140800
10477	00282c1200
10478	1a2420221c
10479	241a02221c
1047a	061c20221c
1047b	301c02221c
1047c	1e2020221c
1047d	3e1020221c
1047e	3e10202010
1047f	c038061806
